codigo | nombre | codigo fabricante | nombre fabricante
1.00 | Disco duro SATA3 1TB | 5.00 | Seagate
2.00 | Memoria RAM DDR4 8GB | 6.00 | Crucial
3.00 | Disco SSD 1 TB | 4.00 | Samsung
4.00 | GeForce GTX 1050Ti | 7.00 | Gigabyte
5.00 | GeForce GTX 1080 Xtreme | 6.00 | Crucial
6.00 | Monitor 24 LED Full HD | 1.00 | Asus
7.00 | Monitor 27 LED Full HD | 1.00 | Asus
8.00 | Portátil Yoga 520 | 2.00 | Lenovo
9.00 | Portátil Ideapd 320 | 2.00 | Lenovo
10.00 | Impresora HP Deskjet 3720 | 3.00 | Hewlett-Packard
11.00 | Impresora HP Laserjet Pro M26nw | 3.00 | Hewlett-Packard
